run_seed,model,split,kind,n_steps,pull,write_k
1710807515,qlstm,extrapolation,other_distractor,12310,0.024592623785198654,0.09928671814684235
1710807515,qlstm,test,event,2051,0.0339262878412389,0.11594428044331205
1710807515,qlstm,test,near_best_distractor,4342,0.021874078362836974,0.09415196817005474
1710807515,qlstm,test,other_distractor,22607,0.02525416764042592,0.10257042813543636
1710807515,qslstm,extrapolation,event,670,0.043571123992329215,0.14711488196278377
1710807515,qslstm,extrapolation,near_best_distractor,2270,0.011639269936977505,0.050372292975759
1710807515,qslstm,extrapolation,other_distractor,12310,0.014463708213826296,0.057816283783556556
1710807515,qslstm,test,event,2051,0.05102170968218468,0.16974032145425658
1710807515,qslstm,test,near_best_distractor,4342,0.01875478928743118,0.08218342987800692
1710807515,qslstm,test,other_distractor,22607,0.021174548704562902,0.08458080255994978
1716202887,qlstm,extrapolation,event,703,0.04563277527414379,0.1465924268668384
1716202887,qlstm,extrapolation,near_best_distractor,2250,0.027088033636411032,0.1195192470139135
1716202887,qlstm,extrapolation,other_distractor,12297,0.03375475078935089,0.13306351086126256
1716202887,qlstm,test,event,2052,0.04484149723606035,0.14931199736679268
1716202887,qlstm,test,near_best_distractor,4357,0.02908463773717567,0.12299248408782558
1716202887,qlstm,test,other_distractor,22591,0.03408771407149881,0.13485657292354447
1716202887,qslstm,extrapolation,event,703,0.05714082654305915,0.1829370611439649
1716202887,qslstm,extrapolation,near_best_distractor,2250,0.011119054304228888,0.051267273254701214
1716202887,qslstm,extrapolation,other_distractor,12297,0.01500016102618664,0.060479750846950446
1716202887,qslstm,test,event,2052,0.063800217986804,0.2038717110962103
1716202887,qslstm,test,near_best_distractor,4357,0.022248403862416267,0.09805943298781909
1716202887,qslstm,test,other_distractor,22591,0.02286842149185536,0.08904564627634333
1806016308,qlstm,extrapolation,event,658,0.04373092188480054,0.147582251199728
1806016308,qlstm,extrapolation,near_best_distractor,2293,0.029266078933274126,0.12430726453540951
1806016308,qlstm,extrapolation,other_distractor,12299,0.03616474912567675,0.1438306155057267
1806016308,qlstm,test,event,2073,0.04337092542556306,0.1465641313530026
1806016308,qlstm,test,near_best_distractor,4344,0.030270250750839382,0.12488523982511228
1806016308,qlstm,test,other_distractor,22583,0.03624601796700292,0.14503287128725612
1806016308,qslstm,extrapolation,event,658,0.042544312027812364,0.1455269789985063
1806016308,qslstm,extrapolation,near_best_distractor,2293,0.012452348735308575,0.0505325221981866
1806016308,qslstm,extrapolation,other_distractor,12299,0.013463018887779057,0.055386366647647914
1806016308,qslstm,test,event,2073,0.05265238776163266,0.1737263587490147
1806016308,qslstm,test,near_best_distractor,4344,0.02064647851426079,0.082406499774061
1806016308,qslstm,test,other_distractor,22583,0.021482728054487255,0.08710628757654167
1885117419,qlstm,extrapolation,event,700,0.03164442241191864,0.11182507913715865
1885117419,qlstm,extrapolation,near_best_distractor,2304,0.018376158058850303,0.07982532225286408
1885117419,qlstm,extrapolation,other_distractor,12246,0.021743881861582975,0.09004490633139131
1885117419,qlstm,test,event,2107,0.03562427721263449,0.11974871434660572
1885117419,qlstm,test,near_best_distractor,4269,0.021134302128280012,0.08998318755452235
1885117419,qlstm,test,other_distractor,22624,0.023352608989655466,0.0945757670144047
1885117419,qslstm,extrapolation,event,700,0.057725480241434916,0.19631668336058303
1885117419,qslstm,extrapolation,near_best_distractor,2304,0.01647655197626187,0.07273843765775294
1885117419,qslstm,extrapolation,other_distractor,12246,0.015326201550695374,0.061591175581409564
1885117419,qslstm,test,event,2107,0.06957474360830364,0.2226972397836206
1885117419,qslstm,test,near_best_distractor,4269,0.024430376985196515,0.10585351986984462
1885117419,qslstm,test,other_distractor,22624,0.021266170311060536,0.084414851120181
1952804984,qlstm,extrapolation,event,691,0.03891242382840379,0.12701492485265775
1952804984,qlstm,extrapolation,near_best_distractor,2298,0.02227460789462605,0.10009821272538476
1952804984,qlstm,extrapolation,other_distractor,12261,0.026425675329420407,0.10553723948557697
1952804984,qlstm,test,event,2099,0.040586207567821976,0.13187583225155258
1952804984,qlstm,test,near_best_distractor,4305,0.02520956752192268,0.10570109641596884
